clade	intercept
20A	3.0
19A	1.9
20C	4.0
20B	3.9
19B	4.5
20D	6.6
20I/501Y.V1	13.4
20G	4.1
20E (EU1)	2.4
20F	5.5
20H/501Y.V2	6.0
20A.EU2	8.8
20J/501Y.V3	15.1
